"Commit","High","Medium","Low"
"02c4d9c4aeba2900b52651e490b8e8aad90dd2db","2166","206","9"
"0338fd735700ae12e20c2bfed43fd91a1dea4579","2166","206","9"
"087abb43145ee0dac944793854fd57b783d68e60","2166","206","9"
"0eabdfa9ad3731aa4b33559e9862d44fb75e7196","2166","206","9"
"0f1473a7fda17f601f243a38deef44ee72eac381","2166","206","9"
"1462c8ac1b04f109cb4775fdc56534a1257a4e96","2166","206","9"
"166d9282b896bdeecedca7ae4e01ba2369ca4407","2166","206","9"
"1899ac97661e1e68fa3e9c3a9e42efcbc9dc2248","2166","206","9"
"196fcd5c0a3393241a7ec0dc32fb955b4b412b54","2166","206","9"
"1bc53831c7b02650e29819962b1c7e2be3233744","2166","206","9"
"1c74b1635bb0a3e81b476b61f6e6804bde776878","2166","206","9"
"1e0318e948834f9a2c1da837be5b3b111f863d92","2166","206","9"
"1f085a920a182935f88327fb359f4d5fbbce2169","2166","206","9"
"1f8b2b9046214e3b4752198d1f041ded801ee7c9","2166","206","9"
"23ad52f867f8d203009e2bb14b66140745641603","2166","206","9"
"23bbaf0578c6146ce81eed85db404e36dd487adb","2166","206","9"
"2723adac54a7a428e771c68f3435d64fbe68e829","2166","206","9"
"29fb5ff93456067db415ec6ea62169232e2b71a3","2166","206","9"
"2b4d2f15f2bf3300723546e21601bd22c02cdc23","2166","206","9"
"2c8d74735a598c2b36a53ef20f50d2eef0babfc0","2166","206","9"
"30b1ae7111f5b9915087cbdf7300387bb8238175","2166","206","9"
"34cd1e2c27770e4674e80cd71ed6ec65d6a01f79","2166","206","9"
"376d30fd0e06338f39bc8897f52655855f2b6435","2166","206","9"
"37b5d539a0ca84bdde4ccf6805773a658664e54b","2166","206","9"
"37c9505a469471ad1997b515c7753c04dcd86183","2166","206","9"
"395a0240f87dbff6724cbecab9e4b359cd21a4f9","2166","206","9"
"3af4900891a9a86e9e47045ffb3ce5826a5927f0","2166","206","9"
"430c4d179ac596be0589468e919d4a6453e2fcab","2166","206","9"
