"Commit","HighSeverity","MediumSeverity","LowSeverity"
"006eea564d55130bb2e2ea7feb3a0e286d75d91f","27","6","232"
"00b4d72d1e5c6e8151f33c822f1f9165ea99dfc8","27","6","231"
"0204838163bd4068fe23b40414573d1307d817ab","27","6","235"
"03ab02730f77da5b7ad05ca78ff1624d8226ec5f","27","6","235"
"03afef753878c2528260dc8084092556428f4343","27","6","235"
"04be55307a3a13f7091a9a2970a1cc20863769e3","27","6","235"
"04d4a3b136060158438c3f2c1b31c884c6961712","27","6","232"
"06159135ef148a6ddc632d0c89b90c937d5bb021","27","6","232"
"0db79d8181c1c3ebf74b9b6d38262c8dcaaf0f4f","27","6","235"
"1182f9567b86f2af747cdb8769ab87649c8ce4c2","27","6","231"
"14f29f087e6097feb46bdb84878924bc410a57eb","27","6","232"
"15c24b0346e3951b43dbf29631bfe65292f53ac5","27","6","231"
"162bf9e10a4e6a08f5ed156a68054ef9b4d2b60e","27","6","232"
"175120c55dcd1d86ea13f21314bf175ce460cb51","31","8","250"
"1786cd3fe4e555b83bdd3eea77ade3477293330d","27","6","235"
"1860d0f41cf50b1a0876174c4e1ee7adbbd4a0f3","27","6","231"
"1980ff4550a3f040fbc1e054d6b91013e9d8cb96","27","6","235"
"199c645bee2052e43ec33cc8d0b0fa0c18853da8","27","6","235"
"1a1ccd9a6e8e9e90ab129e89c2524ab3eb9ed2ae","27","6","231"
"1b0a13f33cfb3644cc718d35951ea85bb1905459","27","6","232"
"1df2596f81695bf452ffbfd89596d115d9b2daf5","27","6","232"
"1e8aaa1d155d2f6b04ba1caa040876372bb0bb44","27","6","235"
"207bc35d348efdfdfe2bd7119e004a1acf0ab3d2","27","6","231"
"21ccd0d7f46002acc61eb21bd0d4e492064c7fe1","27","6","231"
"2202cef0e4551293913e0be06b72b4cffccae0aa","27","6","235"
"24297a42efc52862cb9510d32b28efd7faf49af6","27","6","235"
"25b1287323f5836c9416a8183096adc63809d5ce","27","6","232"
"273964d190fb048477e71114c4734fcb819c5c16","27","6","235"
"27e5a4464d1d4c418d4937492e18a9d47d30fc50","27","6","232"
"281b8e34432d8dba9902be2c1eb77d3e6371cd73","27","6","232"
"286e01ce30b4d4d7a631512c3d1f983b30d9059c","27","6","235"
"287e50b56b4c71da8fd0c3ffdeca9bff5ab0b005","27","6","231"
"28bab774a0df2c80b689c277390da8617131db35","27","6","231"
"2ccee8db74c36eb1254cdffd4e691e56c0ce0724","27","6","235"
"2ee6c7f11074917c08253af4c47f9258aa1e0dad","27","6","235"
"30a3a4c70fdcad10ef1dc6c3402457a95fe1ae5c","27","6","233"
"32290307a45260885b2210aa3c2a57e64abf8c34","27","6","233"
"346dd3b5e87503c52fc6800d9f73cd6bdbce71bc","27","6","235"
"357bfe251d7f4f8bb9319bc6531a3813b5a355a8","27","6","231"
"37488630703944b4f2bda84a26391ae61d29e15b","27","6","232"
"379f52a4954013767219d25099cce9e0f9401961","27","6","235"
"392c467f95cbf89114235038e1938c72d97144d9","27","6","232"
"3a7ef27cf306a0a8f79ebd78ae60329c53080d14","27","6","235"
"3ae9c0f410b1d4f63e8bada67dd62a8d2852be32","27","6","232"
"3be098010f667b14075e3dfad1e74e5e2becc8ea","27","6","231"
"41317030017418c89742594a80c0596c4b26bbb9","27","6","235"
"41920fc80e4fe4a8996aeb31a04826a5a2534814","27","6","233"
